from_source,from_bdy,from_id,from_name,to_source,to_bdy,to_id,to_name,address_count,address_percent
abs 2016,poa,POA2906,2906,abs 2016,lga,LGA89399,Unincorporated ACT,7133,100
abs 2016,poa,POA2911,2911,abs 2016,lga,LGA89399,Unincorporated ACT,3248,100
abs 2016,poa,POA2912,2912,abs 2016,lga,LGA89399,Unincorporated ACT,7295,100
abs 2016,poa,POA2913,2913,abs 2016,lga,LGA89399,Unincorporated ACT,15252,100
abs 2016,poa,POA2914,2914,abs 2016,lga,LGA89399,Unincorporated ACT,12765,100
abs 2016,poa,POA3000,3000,abs 2016,lga,LGA24600,Melbourne (C),74906,100
abs 2016,poa,POA3002,3002,abs 2016,lga,LGA24600,Melbourne (C),6599,100
abs 2016,poa,POA3003,3003,abs 2016,lga,LGA24600,Melbourne (C),8108,100
abs 2016,poa,POA3004,3004,abs 2016,lga,LGA24600,Melbourne (C),3038,20.606389472970225
abs 2016,poa,POA3004,3004,abs 2016,lga,LGA25900,Port Phillip (C),11705,79.39361052702978
abs 2016,poa,POA3005,3005,abs 2016,lga,LGA24600,Melbourne (C),710,100
abs 2016,poa,POA3006,3006,abs 2016,lga,LGA24600,Melbourne (C),30747,98.54491843210154
abs 2016,poa,POA3006,3006,abs 2016,lga,LGA25900,Port Phillip (C),454,1.4550815678984648
abs 2016,poa,POA3008,3008,abs 2016,lga,LGA24600,Melbourne (C),16566,100
abs 2016,poa,POA3010,3010,abs 2016,lga,LGA24600,Melbourne (C),48,100
abs 2016,poa,POA3011,3011,abs 2016,lga,LGA24330,Maribyrnong (C),16607,100
abs 2016,poa,POA3012,3012,abs 2016,lga,LGA23110,Hobsons Bay (C),1671,10.122978130490095
abs 2016,poa,POA3012,3012,abs 2016,lga,LGA24330,Maribyrnong (C),14557,88.18682982976918
abs 2016,poa,POA3012,3012,abs 2016,lga,LGA21180,Brimbank (C),279,1.690192039740716
abs 2016,poa,POA3013,3013,abs 2016,lga,LGA24330,Maribyrnong (C),8452,100
abs 2016,poa,POA3015,3015,abs 2016,lga,LGA23110,Hobsons Bay (C),9484,100
abs 2016,poa,POA3016,3016,abs 2016,lga,LGA23110,Hobsons Bay (C),10415,100
abs 2016,poa,POA3018,3018,abs 2016,lga,LGA23110,Hobsons Bay (C),8620,100
abs 2016,poa,POA3019,3019,abs 2016,lga,LGA24330,Maribyrnong (C),5570,100
abs 2016,poa,POA3020,3020,abs 2016,lga,LGA21180,Brimbank (C),24175,100
abs 2016,poa,POA3021,3021,abs 2016,lga,LGA21180,Brimbank (C),24146,100
abs 2016,poa,POA3022,3022,abs 2016,lga,LGA21180,Brimbank (C),1675,100
abs 2016,poa,POA3023,3023,abs 2016,lga,LGA24650,Melton (C),14931,56.614719599590494
abs 2016,poa,POA3023,3023,abs 2016,lga,LGA21180,Brimbank (C),11442,43.385280400409506
abs 2016,poa,POA3024,3024,abs 2016,lga,LGA24650,Melton (C),1604,8.600997372513271
abs 2016,poa,POA3024,3024,abs 2016,lga,LGA27260,Wyndham (C),17045,91.39900262748672
abs 2016,poa,POA3025,3025,abs 2016,lga,LGA23110,Hobsons Bay (C),7462,100
abs 2016,poa,POA3026,3026,abs 2016,lga,LGA27260,Wyndham (C),1359,100
abs 2016,poa,POA3027,3027,abs 2016,lga,LGA27260,Wyndham (C),3757,100
abs 2016,poa,POA3028,3028,abs 2016,lga,LGA23110,Hobsons Bay (C),13769,99.17170844137136
abs 2016,poa,POA3028,3028,abs 2016,lga,LGA27260,Wyndham (C),115,0.8282915586286372
abs 2016,poa,POA3029,3029,abs 2016,lga,LGA24650,Melton (C),2156,3.6781138577545764
abs 2016,poa,POA3029,3029,abs 2016,lga,LGA27260,Wyndham (C),56461,96.32188614224543
abs 2016,poa,POA3030,3030,abs 2016,lga,LGA21180,Brimbank (C),3755,6.571348570228554
abs 2016,poa,POA3030,3030,abs 2016,lga,LGA27260,Wyndham (C),53387,93.42865142977145
abs 2016,poa,POA3031,3031,abs 2016,lga,LGA25060,Moonee Valley (C),4678,38.95411774502456
abs 2016,poa,POA3031,3031,abs 2016,lga,LGA24600,Melbourne (C),7331,61.04588225497544
abs 2016,poa,POA3032,3032,abs 2016,lga,LGA24330,Maribyrnong (C),7890,44.81172261032544
abs 2016,poa,POA3032,3032,abs 2016,lga,LGA25060,Moonee Valley (C),9717,55.18827738967455
abs 2016,poa,POA3033,3033,abs 2016,lga,LGA21180,Brimbank (C),587,7.885545405695862
abs 2016,poa,POA3033,3033,abs 2016,lga,LGA25060,Moonee Valley (C),6857,92.11445459430414
abs 2016,poa,POA3034,3034,abs 2016,lga,LGA25060,Moonee Valley (C),5620,100
abs 2016,poa,POA3036,3036,abs 2016,lga,LGA21180,Brimbank (C),2759,97.35356386732533
abs 2016,poa,POA3036,3036,abs 2016,lga,LGA23270,Hume (C),75,2.646436132674665
abs 2016,poa,POA3037,3037,abs 2016,lga,LGA21180,Brimbank (C),8388,43.796992481203006
abs 2016,poa,POA3037,3037,abs 2016,lga,LGA24650,Melton (C),10764,56.20300751879699
abs 2016,poa,POA3038,3038,abs 2016,lga,LGA21180,Brimbank (C),11147,100
abs 2016,poa,POA3039,3039,abs 2016,lga,LGA25060,Moonee Valley (C),10090,100
abs 2016,poa,POA3040,3040,abs 2016,lga,LGA25060,Moonee Valley (C),15073,100
abs 2016,poa,POA3041,3041,abs 2016,lga,LGA25060,Moonee Valley (C),7080,100
abs 2016,poa,POA3042,3042,abs 2016,lga,LGA21180,Brimbank (C),1780,17.053075301781952
abs 2016,poa,POA3042,3042,abs 2016,lga,LGA25060,Moonee Valley (C),8658,82.94692469821806
abs 2016,poa,POA3043,3043,abs 2016,lga,LGA25250,Moreland (C),1327,12.29158947758429
